Name,Username,Email,Password,Loyalty Points,Shipping Info,OrderID,Payment Service
Mike Wazuski,WazuM,MikeW@gmail.com,mw123,4,Missussauga,XM23W3,PayPal
Igor Nyet,IgNy,Nyet.Igor@gmail.com,ruswes,5,Toronto,QW23R4,Visa
Cleetus McKeneddy,CleetMc,McKenTheMan@gmail.com,CleMck345,5,Toronto,TY56U8,MasterCard
Mathew Sebastian,mSebt,myemail@gmail.com,45t234235,34,Toronto,ZX76U9,Visa
Jaskaran Singh,daBoi45,JaskySingh@gmail.com,password,2,Brampton,AQ14E3,PayPal
Terry Crews,MuscleMan,Muscleman@gmail.com,i<3muscles,8,Alberta,WV55W2,MasterCard
Philip Jordan,PJuserName,Philipjordan@gmail.com,PJ123,9,Scarborough,GR23R4,Visa
Dan Espinoza,DanTheMan,DanMan@gmail.com,yeet345,14,Brampton,HJ12R5,PayPal
Mathew Thadius,MattThad,mattThad@gmail.com,MT123,1,Brampton,VE11E1,Visa
Jacques,JackF,JacquesFront@gmail.com,jackedAsf,20,Montreal,VE14E3,MasterCard
